     EN	 IP	 coord_no	 coord_dis	 EN_coord_1	 IP_coord_1	 EN_coord_2	 ML_charge
  2.5500	 11.2600	  3.0000	  1.3042	  2.4333	 12.0393	  2.4625	 -0.0967
  2.5500	 11.2600	  3.0000	  1.4278	  2.5500	 11.2600	  2.7300	 -0.0179
  2.5500	 11.2600	  3.0000	  1.3066	  2.4333	 12.0393	  2.4625	 -0.0863
  2.5500	 11.2600	  3.0000	  1.3043	  2.4333	 12.0393	  2.4625	 -0.0981
  2.5500	 11.2600	  3.0000	  1.4538	  2.5500	 11.2600	  2.4333	  0.0788
  2.5500	 11.2600	  3.0000	  1.3052	  2.4333	 12.0393	  2.4625	 -0.0736
  2.5500	 11.2600	  3.0000	  1.3061	  2.4333	 12.0393	  2.4625	 -0.0890
  2.5500	 11.2600	  3.0000	  1.4268	  2.5500	 11.2600	  2.7300	 -0.0193
  2.5500	 11.2600	  3.0000	  1.3064	  2.4333	 12.0393	  2.4625	 -0.0891
  2.5500	 11.2600	  3.0000	  1.3037	  2.4333	 12.0393	  2.4625	 -0.1323
  2.5500	 11.2600	  3.0000	  1.3047	  2.4333	 12.0393	  2.4625	 -0.0905
  2.5500	 11.2600	  3.0000	  1.3051	  2.4333	 12.0393	  2.4625	 -0.0736
  2.5500	 11.2600	  3.0000	  1.4523	  2.5500	 11.2600	  2.7300	 -0.0299
  2.5500	 11.2600	  3.0000	  1.3050	  2.4333	 12.0393	  2.4625	 -0.0961
  2.5500	 11.2600	  3.0000	  1.3041	  2.4333	 12.0393	  2.4625	 -0.0933
  2.5500	 11.2600	  3.0000	  1.4527	  2.5500	 11.2600	  2.4333	  0.0788
  2.5500	 11.2600	  3.0000	  1.3048	  2.4333	 12.0393	  2.4625	 -0.0889
  2.5500	 11.2600	  3.0000	  1.4647	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.4253	  2.5500	 11.2600	  2.4917	  0.0427
  2.5500	 11.2600	  3.0000	  1.2957	  2.4333	 12.0393	  2.4625	 -0.1055
  2.5500	 11.2600	  3.0000	  1.3089	  2.4333	 12.0393	  2.5500	 -0.1205
  2.5500	 11.2600	  3.0000	  1.4363	  2.5500	 11.2600	  2.5500	 -0.0084
  2.5500	 11.2600	  3.0000	  1.4627	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.4247	  2.5500	 11.2600	  2.4917	  0.0428
  2.5500	 11.2600	  3.0000	  1.2954	  2.4333	 12.0393	  2.4625	 -0.0765
  2.5500	 11.2600	  3.0000	  1.3074	  2.4333	 12.0393	  2.5500	 -0.1131
  2.5500	 11.2600	  3.0000	  1.4360	  2.5500	 11.2600	  2.5500	 -0.0083
  2.5500	 11.2600	  3.0000	  1.4616	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.4241	  2.5500	 11.2600	  2.4917	  0.0397
  2.5500	 11.2600	  3.0000	  1.2958	  2.4333	 12.0393	  2.4625	 -0.1074
  2.5500	 11.2600	  3.0000	  1.3065	  2.4333	 12.0393	  2.4625	 -0.0868
  2.5500	 11.2600	  3.0000	  1.4637	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.3043	  2.4333	 12.0393	  2.4625	 -0.0981
  2.5500	 11.2600	  3.0000	  1.3038	  2.4333	 12.0393	  2.4625	 -0.1323
  2.5500	 11.2600	  3.0000	  1.3043	  2.4333	 12.0393	  2.4625	 -0.0981
  2.5500	 11.2600	  3.0000	  1.3031	  2.4333	 12.0393	  2.4625	 -0.0952
  2.5500	 11.2600	  3.0000	  1.4507	  2.5500	 11.2600	  2.4333	  0.0795
  2.5500	 11.2600	  3.0000	  1.3038	  2.4333	 12.0393	  2.4625	 -0.1410
  2.5500	 11.2600	  3.0000	  1.3041	  2.4333	 12.0393	  2.4625	 -0.0933
  2.5500	 11.2600	  3.0000	  1.4504	  2.5500	 11.2600	  2.7300	 -0.0275
  2.5500	 11.2600	  3.0000	  1.3043	  2.4333	 12.0393	  2.4625	 -0.0981
  2.5500	 11.2600	  3.0000	  1.3030	  2.4333	 12.0393	  2.4625	 -0.1123
  2.5500	 11.2600	  3.0000	  1.4504	  2.5500	 11.2600	  2.4333	  0.0795
  2.5500	 11.2600	  3.0000	  1.3039	  2.4333	 12.0393	  2.4625	 -0.1410
  2.5500	 11.2600	  3.0000	  1.4604	  2.5500	 11.2600	  2.4917	  0.0242
  2.5500	 11.2600	  3.0000	  1.4236	  2.5500	 11.2600	  2.4917	  0.0414
  2.5500	 11.2600	  3.0000	  1.2955	  2.4333	 12.0393	  2.4625	 -0.1022
  2.5500	 11.2600	  3.0000	  1.3070	  2.4333	 12.0393	  2.5500	 -0.1099
  2.5500	 11.2600	  3.0000	  1.4347	  2.5500	 11.2600	  2.5500	 -0.0076
  2.5500	 11.2600	  3.0000	  1.4602	  2.5500	 11.2600	  2.4917	  0.0242
  2.5500	 11.2600	  3.0000	  1.4234	  2.5500	 11.2600	  2.4917	  0.0400
  2.5500	 11.2600	  3.0000	  1.2952	  2.4333	 12.0393	  2.4625	 -0.0760
  2.5500	 11.2600	  3.0000	  1.3070	  2.4333	 12.0393	  2.5500	 -0.1099
  2.5500	 11.2600	  3.0000	  1.4346	  2.5500	 11.2600	  2.5500	 -0.0077
  2.5500	 11.2600	  3.0000	  1.4605	  2.5500	 11.2600	  2.4917	  0.0242
  2.5500	 11.2600	  3.0000	  1.4237	  2.5500	 11.2600	  2.4917	  0.0423
  2.5500	 11.2600	  3.0000	  1.2955	  2.4333	 12.0393	  2.4625	 -0.1022
  2.5500	 11.2600	  3.0000	  1.4606	  2.5500	 11.2600	  2.4917	  0.0242
  2.5500	 11.2600	  3.0000	  1.4237	  2.5500	 11.2600	  2.4917	  0.0423
  2.5500	 11.2600	  3.0000	  1.2952	  2.4333	 12.0393	  2.4625	 -0.0760
  2.5500	 11.2600	  3.0000	  1.3045	  2.4333	 12.0393	  2.4625	 -0.0905
  2.5500	 11.2600	  3.0000	  1.4513	  2.5500	 11.2600	  2.7300	 -0.0307
  2.5500	 11.2600	  3.0000	  1.3047	  2.4333	 12.0393	  2.4625	 -0.0889
  2.5500	 11.2600	  3.0000	  1.4515	  2.5500	 11.2600	  2.4333	  0.0788
  2.5500	 11.2600	  3.0000	  1.4247	  2.5500	 11.2600	  2.4917	  0.0428
  2.5500	 11.2600	  3.0000	  1.2957	  2.4333	 12.0393	  2.4625	 -0.1055
  2.5500	 11.2600	  3.0000	  1.3049	  2.4333	 12.0393	  2.4625	 -0.0886
  2.5500	 11.2600	  3.0000	  1.4246	  2.5500	 11.2600	  2.4917	  0.0426
  2.5500	 11.2600	  3.0000	  1.2954	  2.4333	 12.0393	  2.4625	 -0.0757
  2.5500	 11.2600	  3.0000	  1.4634	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.4249	  2.5500	 11.2600	  2.4917	  0.0429
  2.5500	 11.2600	  3.0000	  1.2954	  2.4333	 12.0393	  2.4625	 -0.0757
  2.5500	 11.2600	  3.0000	  1.3496	  3.1433	 12.8320	  1.9400	  0.5945
  2.5500	 11.2600	  3.0000	  1.3506	  3.1433	 12.8320	  1.9400	  0.5958
  2.5500	 11.2600	  3.0000	  1.3761	  3.1433	 12.8320	  1.9400	  0.5703
  2.5500	 11.2600	  3.0000	  1.3745	  3.1433	 12.8320	  1.9400	  0.5179
  2.5500	 11.2600	  3.0000	  1.3762	  3.1433	 12.8320	  1.9400	  0.5703
  2.5500	 11.2600	  3.0000	  1.3751	  3.1433	 12.8320	  1.9400	  0.5015
  2.5500	 11.2600	  3.0000	  1.3755	  3.1433	 12.8320	  1.9400	  0.5079
  2.5500	 11.2600	  3.0000	  1.3748	  3.1433	 12.8320	  1.9400	  0.5088
  2.5500	 11.2600	  3.0000	  1.3515	  3.1433	 12.8320	  1.9400	  0.5993
  2.5500	 11.2600	  3.0000	  1.3500	  3.1433	 12.8320	  1.9400	  0.5953
  2.5500	 11.2600	  3.0000	  1.3758	  3.1433	 12.8320	  1.9400	  0.5372
  2.5500	 11.2600	  3.0000	  1.3767	  3.1433	 12.8320	  1.9400	  0.5920
  2.5500	 11.2600	  3.0000	  1.3748	  3.1433	 12.8320	  1.9400	  0.5088
  2.5500	 11.2600	  3.0000	  1.3748	  3.1433	 12.8320	  1.9400	  0.5088
  2.5500	 11.2600	  3.0000	  1.3771	  3.1433	 12.8320	  1.9400	  0.5943
  2.5500	 11.2600	  3.0000	  1.3496	  3.1433	 12.8320	  1.9400	  0.5945
  2.5500	 11.2600	  3.0000	  1.3765	  3.1433	 12.8320	  1.9400	  0.5920
  2.5500	 11.2600	  3.0000	  1.3773	  3.1433	 12.8320	  1.9400	  0.5951
  2.5500	 11.2600	  3.0000	  1.3511	  3.1433	 12.8320	  1.9400	  0.5966
  2.5500	 11.2600	  3.0000	  1.3750	  3.1433	 12.8320	  1.9400	  0.5015
  2.5500	 11.2600	  3.0000	  1.3754	  3.1433	 12.8320	  1.9400	  0.5079
  2.5500	 11.2600	  3.0000	  1.3506	  3.1433	 12.8320	  1.9400	  0.5958
  2.5500	 11.2600	  3.0000	  1.3505	  3.1433	 12.8320	  1.9400	  0.5943
  2.5500	 11.2600	  3.0000	  1.3499	  3.1433	 12.8320	  1.9400	  0.5946
  2.5500	 11.2600	  3.0000	  1.4625	  2.5500	 11.2600	  2.4917	  0.0243
  2.5500	 11.2600	  3.0000	  1.4353	  2.5500	 11.2600	  2.5500	 -0.0081
